CO_PAIS;id_country
994;A_DESIGNAR
013;AFEGANISTAO
015;ALAND_ILHAS
020;ALBORAN-PEREJIL_ILHAS
017;ALBANIA
023;ALEMANHA
025;ALEMANHA_ORIENTAL
037;ANDORRA
040;ANGOLA
041;ANGUILLA
047;ANTILHAS_HOLANDESAS
042;ANTARTICA
043;ANTIGUA_E_BARBUDA
063;ARGENTINA
059;ARGELIA
064;ARMENIA
065;ARUBA
053;ARABIA_SAUDITA
069;AUSTRALIA
073;AZERBAIJAO
077;BAHAMAS
995;BANCOS_CENTRAIS
081;BANGLADESH
083;BARBADOS
080;BAREIN
085;BELARUS
088;BELIZE
229;BENIN
090;BERMUDAS
097;BOLIVIA
099;BONAIRE_SAINT_EUSTATIUS_E_SABA
101;BOTSUANA
102;BOUVET_ILHA
105;BRASIL
108;BRUNEI
111;BULGARIA
031;BURKINA_FASO
115;BURUNDI
119;BUTAO
087;BELGICA
098;BOSNIA-HERZEGOVINA
127;CABO_VERDE
145;CAMAROES
141;CAMBOJA
149;CANADA
150;CANAL_ILHAS_DO_GUERNSEY
152;CANAL_ILHAS_DO_JERSEY
151;CANARIAS_ILHAS
154;CATAR
137;CAYMAN_ILHAS
153;CAZAQUISTAO
788;CHADE
158;CHILE
160;CHINA
163;CHIPRE
511;CHRISTMAS_NAVIDAD_ILHA
165;COCOS_KEELING_ILHAS
169;COLOMBIA
173;COMORES
177;CONGO
888;CONGO_REPUBLICA_DEMOCRATICA
183;COOK_ILHAS
187;COREIA_DO_NORTE
190;COREIA_DO_SUL
196;COSTA_RICA
193;COSTA_DO_MARFIM
198;COVEITE_KUWEIT
195;CROACIA
199;CUBA
200;CURACAO
232;DINAMARCA
783;DJIBUTI
235;DOMINICA
237;DUBAI
240;EGITO
687;EL_SALVADOR
244;EMIRADOS_ARABES_UNIDOS
239;EQUADOR
243;ERITREIA
247;ESLOVAQUIA
246;ESLOVENIA
245;ESPANHA
249;ESTADOS_UNIDOS
251;ESTONIA
253;ETIOPIA
255;FALKLAND_MALVINAS
259;FAROE_ILHAS
870;FIJI
267;FILIPINAS
271;FINLANDIA
275;FRANCA
281;GABAO
289;GANA
291;GEORGIA
292;GEORGIA_DO_SUL_E_SANDWICH_DO_SUL_ILHAS
293;GIBRALTAR
297;GRANADA
305;GROENLANDIA
301;GRECIA
309;GUADALUPE
313;GUAM
317;GUATEMALA
321;GUERNSEY
337;GUIANA
325;GUIANA_FRANCESA
329;GUINE
331;GUINE_EQUATORIAL
334;GUINE-BISSAU
285;GAMBIA
341;HAITI
343;HEARD_E_ILHAS_MCDONALD_ILHA
345;HONDURAS
351;HONG_KONG
355;HUNGRIA
359;ILHA_DE_MAN
365;INDONESIA
367;INGLATERRA
100;INTERNACAO_NA_ZONA_FRANCA_DE_MANAUS
369;IRAQUE
375;IRLANDA
372;IRA
379;ISLANDIA
383;ISRAEL
386;ITALIA
388;IUGOSLAVIA
357;IEMEN
358;IEMEN_DEMOCRATICO
391;JAMAICA
399;JAPAO
393;JERSEY
396;JOHNSTON_ILHAS
403;JORDANIA
411;KIRIBATI
420;LAOS
423;LEBUAN_ILHAS
426;LESOTO
427;LETONIA
434;LIBERIA
440;LIECHTENSTEIN
442;LITUANIA
445;LUXEMBURGO
431;LIBANO
438;LIBIA
447;MACAU
449;MACEDONIA
450;MADAGASCAR
452;MADEIRA_ILHA_DA
458;MALAVI
461;MALDIVAS
464;MALI
467;MALTA
455;MALASIA
472;MARIANAS_DO_NORTE_ILHAS
474;MARROCOS
476;MARSHALL_ILHAS
477;MARTINICA
